station,longitude,latitude
BG8,-83.191688,26.4501448
BG9,-83.3456008,26.40670724
BG10,-83.49939345,26.36183082
BG11,-83.65296067,26.31781175
BG12,-83.80675566,26.27277329
BG13,-83.95974036,26.22899617
BG14,-84.11281324,26.18338359
BG15,-84.26552831,26.13855099
BG16,-84.41887654,26.09339878
BG17,-84.5708898,26.04848684
BG18,-84.7237231,26.00307
BG19,-84.87032077,25.95910489
BG20,-85.01826054,25.9142254
